"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
-22.614,-0.012769,-0.0265,-0.022695,1,6.2501,18.544,4.8068,10.835
-22.613,-0.012863,-0.026206,-0.022573,1,6.2881,18.525,4.7858,10.81
-22.612,-0.012952,-0.025899,-0.022429,1,6.3259,18.506,4.7648,10.785
-22.611,-0.01303,-0.025576,-0.022268,1,6.3638,18.487,4.7439,10.76
-22.611,-0.0131,-0.025236,-0.022091,1,6.402,18.468,4.723,10.734
-22.61,-0.013163,-0.024884,-0.021894,1,6.4402,18.449,4.702,10.708
-22.609,-0.013216,-0.024517,-0.021682,1,6.4787,18.43,4.6809,10.682
-22.608,-0.013261,-0.024143,-0.02146,1,6.5165,18.412,4.6602,10.656
-22.607,-0.013299,-0.023763,-0.021225,1,6.5545,18.394,4.6395,10.63
-22.606,-0.013327,-0.023377,-0.020984,1,6.592,18.377,4.6192,10.604
-22.605,-0.013352,-0.022989,-0.020732,1,6.6297,18.359,4.5988,10.577
-22.604,-0.01337,-0.022598,-0.020472,1,6.6671,18.342,4.5787,10.551
-22.604,-0.013384,-0.02221,-0.02021,1,6.7045,18.325,4.5586,10.524
-22.603,-0.013393,-0.02182,-0.019939,1,6.742,18.308,4.5387,10.498
-22.602,-0.0134,-0.021437,-0.019669,1,6.7794,18.291,4.5189,10.471
-22.601,-0.013405,-0.021062,-0.019398,1,6.8166,18.274,4.4994,10.444
-22.6,-0.01341,-0.020687,-0.01912,1,6.8546,18.257,4.4796,10.416
-22.599,-0.013415,-0.020323,-0.018844,1,6.8926,18.24,4.4598,10.389
-22.598,-0.013423,-0.019977,-0.018575,1,6.93,18.223,4.4404,10.362
-22.597,-0.013431,-0.019644,-0.018309,1,6.9674,18.206,4.421,10.334
-22.597,-0.013444,-0.019324,-0.018052,1,7.005,18.189,4.4019,10.307
-22.596,-0.013462,-0.019025,-0.017804,1,7.0423,18.173,4.3829,10.279
-22.595,-0.013485,-0.018743,-0.017562,1,7.0797,18.156,4.364,10.252
