x, y, z, s 
17.4713383, 3.6661849, 9.22213173, 8.50034714 
17.4511986, 3.64619446, 9.19716835, 8.53814125 
17.4310265, 3.62595987, 9.17237568, 8.57597065 
17.4103489, 3.60522151, 9.14730263, 8.61452293 
17.3895378, 3.5843246, 9.12237549, 8.65313816 
17.3687515, 3.56343699, 9.09791279, 8.69143677 
17.3477039, 3.54226375, 9.07343769, 8.7300415 
17.3265133, 3.52094412, 9.0491209, 8.76870441 
17.3053989, 3.49966431, 9.02524376, 8.80702877 
17.2841282, 3.47817373, 9.00147724, 8.84548855 
17.262661, 3.45648956, 8.97796631, 8.88400841 
17.2413521, 3.43494415, 8.95498085, 8.92204189 
17.2196693, 3.41301584, 8.93179893, 8.96062183 
17.1978073, 3.39092565, 8.9087162, 8.99933624 
17.1760387, 3.36896515, 8.88613319, 9.03762627 
17.1540146, 3.34678197, 8.86362267, 9.07614708 
17.131897, 3.3245728, 8.8412962, 9.11462975 
17.1095753, 3.30221558, 8.81912804, 9.15322399 
17.0871277, 3.27977896, 8.79711914, 9.19184685 
17.0642052, 3.25695038, 8.77478027, 9.23116016 
17.0411968, 3.23421335, 8.75274658, 9.27029896 
17.0178299, 3.21119237, 8.7302494, 9.31007481 
16.9945774, 3.188272, 8.70817852, 9.34948444 
16.9710293, 3.16515207, 8.68581581, 9.38934803 
16.9475899, 3.14210367, 8.66370869, 9.42896271 
16.9240818, 3.11901093, 8.64156532, 9.46866512 
16.9007511, 3.0960815, 8.61993408, 9.50788212 
16.8773994, 3.07302403, 8.5980587, 9.54732132 
16.8542957, 3.0500474, 8.57637978, 9.58645821 
16.8313313, 3.02697754, 8.55456543, 9.62564278 
16.8085003, 3.00383759, 8.53243446, 9.66496849 
16.7857933, 2.98083186, 8.51030254, 9.70414352 
16.7631359, 2.9577713, 8.48800087, 9.74341774 
16.740797, 2.93498993, 8.46580791, 9.78228378 
16.7186317, 2.91237497, 8.44356728, 9.82098103 
16.6966267, 2.8897872, 8.42095947, 9.85978127 
16.6748734, 2.86720276, 8.39808369, 9.89859581 
16.6534004, 2.84467769, 8.37491417, 9.9373951 
16.6321144, 2.82210088, 8.35141563, 9.97631741 
16.6110363, 2.79959869, 8.32772255, 10.0152016 
16.5902519, 2.77729487, 8.30383301, 10.0539331 
16.5697842, 2.75519252, 8.27974892, 10.0925007 
16.5496883, 2.73336649, 8.2557497, 10.130661 
16.5293465, 2.7114501, 8.23081017, 10.1695986 
