TimeStep,"Vel","Points:0","Points:1","Points:2"
0,0.042738,16.449,2.6247,8.1273
0,0.041509,16.429,2.6034,8.1008
0,0.040348,16.409,2.5823,8.0739
0,0.039284,16.389,2.5613,8.0466
0,0.038305,16.369,2.5405,8.0189
0,0.03742,16.348,2.5197,7.9908
0,0.036642,16.328,2.4992,7.9623
0,0.035956,16.308,2.4789,7.9333
0,0.035399,16.287,2.4588,7.9041
0,0.034943,16.267,2.439,7.8747
0,0.034638,16.247,2.4193,7.8449
0,0.034459,16.227,2.4002,7.8153
0,0.034427,16.206,2.3813,7.7853
0,0.034569,16.186,2.3627,7.755
0,0.034862,16.165,2.3443,7.7245
0,0.035401,16.145,2.3261,7.6937
0,0.036146,16.124,2.3081,7.6625
0,0.037152,16.103,2.2903,7.6311
0,0.03848,16.083,2.2726,7.5994
0,0.040096,16.062,2.2554,7.5677
0,0.042125,16.042,2.2383,7.5356
0,0.044554,16.021,2.2217,7.5035
0,0.047407,16.001,2.2053,7.4713
0,0.050826,15.98,2.1891,7.4391
0,0.054758,15.96,2.1735,7.407
0,0.059209,15.94,2.1582,7.3747
0,0.064443,15.92,2.1431,7.3424
0,0.070348,15.899,2.1283,7.3099
0,0.076973,15.878,2.1137,7.2768
0,0.084454,15.858,2.0994,7.2438
0,0.092665,15.837,2.0855,7.2106
0,0.10157,15.816,2.0719,7.1775
0,0.11132,15.795,2.0584,7.1439
0,0.12168,15.773,2.0451,7.1105
0,0.13248,15.752,2.0324,7.0773
0,0.14381,15.731,2.0198,7.044
0,0.15538,15.709,2.0073,7.0106
0,0.16726,15.688,1.9952,6.9774
0,0.17934,15.666,1.9832,6.9439
0,0.19134,15.644,1.9715,6.9105
0,0.20327,15.621,1.9601,6.877
0,0.21456,15.599,1.9491,6.844
0,0.22609,15.576,1.9383,6.8108
0,0.23699,15.554,1.928,6.7782
0,0.24728,15.532,1.9181,6.7457
0,0.25714,15.509,1.9084,6.7135
0,0.26675,15.487,1.8988,6.6812
0,0.27586,15.464,1.8893,6.649
0,0.28477,15.441,1.8804,6.6172
0,0.29317,15.419,1.8716,6.5855
0,0.30101,15.395,1.8629,6.5539
0,0.30888,15.372,1.8543,6.5224
0,0.31618,15.349,1.8459,6.491
0,0.32349,15.326,1.8377,6.4598
0,0.33053,15.302,1.8297,6.4291
0,0.33726,15.279,1.822,6.3985
0,0.34394,15.255,1.8145,6.3679
0,0.35041,15.231,1.8074,6.3381
0,0.35685,15.207,1.8006,6.3085
0,0.36336,15.183,1.7938,6.2793
0,0.36973,15.159,1.7875,6.2505
0,0.37635,15.134,1.7813,6.222
0,0.38293,15.109,1.7752,6.1937
0,0.38954,15.085,1.7694,6.1659
0,0.39629,15.059,1.7636,6.1382
0,0.4032,15.034,1.7579,6.1106
0,0.41016,15.008,1.7524,6.0836
0,0.41733,14.982,1.747,6.0566
0,0.42461,14.956,1.7416,6.0298
0,0.43196,14.93,1.7363,6.0034
0,0.43933,14.903,1.7311,5.9774
0,0.44673,14.877,1.7258,5.9515
